algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,8,200,10,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,43398.325493142,0.0230403622321318,0.0299391479202313,0.8581,0.79255,0.495907,500000,varyM
HNSW,8,200,20,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,32687.35760064984,0.0307334660336588,0.0412456039455719,0.9346,0.89643,0.672998,500000,varyM
HNSW,8,200,40,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,22408.18963058785,0.0447084943004786,0.0654557299712905,0.9701,0.95349,0.835177,500000,varyM
HNSW,8,200,80,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,14651.167696471004,0.0682684567693892,0.1064952539483783,0.9874,0.9806,0.933479,500000,varyM
HNSW,8,200,160,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,9127.70948472535,0.1094860335329334,0.1779991969495312,0.9945,0.99246,0.974572,500000,varyM
HNSW,8,200,320,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,5547.576839461958,0.1804079385692603,0.3078215040543,0.9969,0.99647,0.990266,500000,varyM
HNSW,8,200,640,88.53535891900538,3944.671678543091,4445.08203125,11006.30859375,3944.94140625,8,2934.109891286668,0.3411283988653546,0.5862496939051198,0.9983,0.99834,0.996262,500000,varyM
HNSW,16,200,10,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,34492.68930411323,0.029051475298426,0.0416807819448877,0.9214,0.86887,0.594341,500000,varyM
HNSW,16,200,20,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,24650.99242013143,0.0405445493350271,0.0615299419936491,0.9662,0.94365,0.765789,500000,varyM
HNSW,16,200,40,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,16477.79551053395,0.0607168413303346,0.0969402057540719,0.9877,0.97875,0.90248,500000,varyM
HNSW,16,200,80,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,10460.108718531746,0.0954997158958576,0.1631803378084441,0.996,0.99311,0.968541,500000,varyM
HNSW,16,200,160,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,6285.734103716985,0.1590005535986468,0.2839600375416921,0.9985,0.99813,0.990899,500000,varyM
HNSW,16,200,320,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,3924.322327505097,0.2550528736663788,0.4693466829892713,0.9991,0.99931,0.997595,500000,varyM
